category,artifact,location,status,summary,command_or_worker,follow_up
frontend-shell,canonical frontend workspace,apps/frontend,pass,"Old dashboard and temporary shell remain removed; apps/frontend is now the canonical backend-driven React shell with one entrypoint, router, route registry, API adapter, mock adapter, and theme system.","npm run typecheck -w apps/frontend; npm run test -w apps/frontend; npm run build -w apps/frontend","Keep route metadata reconciled with actual adapter calls."
frontend-shell,legacy route compatibility,apps/frontend/src/routes/routes.ts,pass,"Removed dashboard and deep-link paths are deliberately mapped through explicit route aliases instead of silent unknown-route assumptions.","npm run test -w apps/frontend","Keep compatibility aliases documented and avoid restoring duplicate app shells."
unit-test,TypeScript workspace build,root,pass,"Shared, API, and frontend TypeScript workspaces build successfully with the canonical frontend included.","npm run build",none
unit-test,workspace tests,root,pass,"Shared, API, frontend contract, and service-template tests pass across active workspaces.","npm test",none
unit-test,python agent tests,apps/agents,pass,"Python MoE/router/agent contract tests passed: 22 passed, 1 FastAPI/Starlette TestClient deprecation warning.","python -m pytest apps\\agents","Track FastAPI TestClient warning during dependency refresh."
performance,backend performance smoke,artifacts/backend-performance-smoke.csv,pass,"Direct handler smoke covered 10 backend routes with 150 iterations each and zero status failures.","node scripts\\performance-smoke.mjs","Keep as smoke signal; not a substitute for production load testing."
harmonization,mandatory AI recommendation envelope,packages/shared/src/aiControlPlane.ts,pass,"Shared AIRecommendationOutput now requires tenantId, racetrackId, recommendationType, modelVersion, policyReferences, approvalRequirement, generatedAt, and auditReference.","npm run build && npm test","Keep Python agent DTOs aligned with this envelope in future integrations."
harmonization,backend AI output converters,apps/api/src/aiControlPlane.ts,pass,"Expert draft and governed recommendation converters now populate the mandatory shared AI recommendation envelope.","npm run build && npm test","Use explicit tenant/racetrack options when invoking conversion helpers outside deterministic tests."
harmonization,AI recommendation contract tests,packages/shared/tests/ai-control-plane.test.mjs;packages/shared/tests/unified-ai-control-plane-contracts.test.mjs;apps/api/tests/ai-control-plane.test.mjs,pass,"Tests now validate the stricter recommendation envelope for shared DTOs, expert drafts, and governed backend records.","npm test",none
worker-synthesis,explicit backend workspaces,package.json;package-lock.json,fixed,"Root workspace list now names apps/api explicitly and npm start builds before launching the API.","Root Scripts Audit","Keep future browser UI packages out of root workspaces until backend contracts are stable."
worker-synthesis,declared route parity,apps/api/src/server.ts;apps/api/tests/runtime-server.test.mjs,fixed,"Declared routes for race summaries, AI recommendation DTOs, and AI feature records now resolve through handleApiRequest and schema tests.","Backend Route Audit","Add generated route parity coverage for every shared endpoint."
worker-synthesis,Python agent governance gap,apps/agents,open,"Python router and agent stubs still need a strict governed recommendation envelope and server-side approval verification.","Python Agents Audit","Bridge Python DTOs to shared AI recommendation contract and block caller-asserted approvals."
worker-synthesis,tenant and durable persistence gaps,apps/api;db/migrations,open,"Workers consistently found tenant/RLS/database persistence gaps beyond the in-memory backend facade.","Tenant Security Audit;Database Schema Audit","Add tenant columns, RLS, durable approval/audit/event/AI recommendation tables, and request-scoped filtering."
worker-synthesis,event traceability gap,apps/api/src/events;apps/api/src/server.ts,open,"CQRS command/event envelopes need upstream correlation, audit, approval, workflow, and twin refs for full reconstruction.","Event CQRS Audit","Propagate request IDs and audit refs through command-event-projection-audit flows."
worker-synthesis,docs and infra wording gap,docs;infra,fixed,"Architecture and audit docs now identify apps/frontend as the canonical rebuilt shell while preserving non-overclaim language around facades, stubs, production posture, and certification readiness.","Docs Drift Audit;Infra Config Audit;Compliance Standards Audit","Continue production deployment guardrails before claiming deployable SaaS readiness."
worker,Frontend Config Scan,worker-lane,launched,"Scans active and stale frontend configuration after removal.","Frontend Config Scan","Reconcile worker findings into this CSV after completion."
worker,Root Scripts Audit,worker-lane,launched,"Audits package scripts and workspace drift.","Root Scripts Audit","Reconcile worker findings into this CSV after completion."
worker,Backend Route Audit,worker-lane,launched,"Audits API route registration and shared API contract alignment.","Backend Route Audit","Reconcile worker findings into this CSV after completion."
worker,Shared Contracts Audit,worker-lane,launched,"Audits DTOs, route manifests, AI recommendation contract, audit contract, and tenant fields.","Shared Contracts Audit","Reconcile worker findings into this CSV after completion."
worker,AI Control Audit,worker-lane,launched,"Audits AI backend control plane and advisory-only safety.","AI Control Audit","Reconcile worker findings into this CSV after completion."
worker,Python Agents Audit,worker-lane,launched,"Audits Python MoE agents for advisory-only contract alignment.","Python Agents Audit","Reconcile worker findings into this CSV after completion."
worker,Audit Approval Audit,worker-lane,launched,"Audits approval workflow and immutable audit logging.","Audit Approval Audit","Reconcile worker findings into this CSV after completion."
